DataElementName,OriginalDataElementName,Category,Sector,Notes,Indicators,IsDisaggregate
First-generation college student,First-generation college student,Postsecondary Transitions,,,,True
First-time 9th grade student status,First-time 9th grade student status,Postsecondary Transitions,,,Successful completion of Algebra 1 by 9th grade,False
Funding dedicated to workforce development programs,Funding dedicated to workforce development programs,Workforce Transitions,,,Expenditures on workforce development programs,False
Gateway course completion,Gateway course completion,Postsecondary Transitions,,,Gateway course completion,False
Gender,Gender,School Climate,,,,True
Geographical indicator,"Geographical indicator (e.g., census tract, city, county)",School Climate,,"For example, census tract, city, or county",Neighborhood racial diversity,False
Gifted and talented participation,Gifted and talented participation,Postsecondary Transitions,,,Equitable placement in rigorous coursework,False
Grade point average (K-12),GPA (Grade 8); Grade point average (Grade 6-8); Grade point average (Grades 9-12),Postsecondary Transitions,K-12,,8th grade on track; Grade point average (MS+HS),False
Grade point average (Postsecondary),Grade point average,Postsecondary Transitions,Postsecondary,,Grade point average (MS+HS),False
Graduate credential attainment date,Graduate credential attainment date,Postsecondary Success,,,Postsecondary certificate or degree completion,False
Graduate program enrollment date,Graduate program enrollment date,Postsecondary Success,,,Enrollment in graduate education; Postsecondary certificate or degree completion,False
Growth mindset surveys (K-12),Growth mindset survey results (K-12),Social-Emotional Learning,K-12,,Growth mindset,False
Growth mindset surveys (Postsecondary),Growth mindset survey results (Postsecondary),Postsecondary Success,Postsecondary,,Growth mindset,False
Growth mindset surveys (Workforce),Growth mindset survey results (Workforce),Workforce Success,Workforce,,Growth mindset,False
Health services offered,Health services offered,School Climate,,,"Access to health, mental health, and social supports",False
Health-Related Quality of Life Scale scores,Scores on Health-Related Quality of Life Scale,School Climate,,,Physical development and well-being,False
High school diploma type,High school diploma type,Postsecondary Transitions,,,High school graduation,False
High school graduation date,High school graduation date,Postsecondary Transitions,,,Economic mobility; Economic security; Minimum economic return; Postsecondary enrollment after high school graduation; Successful career transition after high school,False
High school graduation indicator,High school graduation indicator,Postsecondary Transitions,,,College preparatory coursework completion; Selection of a well-matched postsecondary institution; Senior summer on track,False
Higher-order thinking skills performance assessments (K-12),Higher-order thinking skills performance assessment results (K-12),Social-Emotional Learning,K-12,,Higher-order thinking skills,False
Higher-order thinking skills performance assessments (Postsecondary),Higher-order thinking skills performance assessment results (Postsecondary),Postsecondary Success,Postsecondary,,Higher-order thinking skills,False
Higher-order thinking skills performance assessments (Workforce),Higher-order thinking skills performance assessment results (Workforce),Workforce Success,Workforce,,Higher-order thinking skills,False
Highest level of education completed,Highest level of education completed,Teaching Effectiveness,,,Teacher credentials,False
