IndicatorName,IndicatorDataElement,DataModelId,GlobalId,DataWarehouseLocations
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Disability -> Primary Disability Type,70631,000218,RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeCode; RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeDescription; RDS.DimIdeaDisabilityTypes.IdeaDisabilityTypeEdFactsCode
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Disability -> Section 504 Status,74717,000249,RDS.DimDisabilityStatuses.Section504StatusCode; RDS.DimDisabilityStatuses.Section504StatusDescription; RDS.DimDisabilityStatuses.Section504StatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.SECTION504STATUS; RDS.ReportEDFactsK12StudentCounts.SECTION504STATUS; RDS.ReportEDFactsK12StudentDisciplines.SECTION504STATUS
Enrollment in public pre-K,Early Learning -> Early Learning Child -> English Learner -> English Learner Status,75734,000180,RDS.DimAeDemographics.EnglishLearnerStatusCode; RDS.DimAeDemographics.EnglishLearnerStatusDescription; RDS.DimEnglishLearnerStatuses.EnglishLearnerStatusCode; RDS.DimEnglishLearnerStatuses.EnglishLearnerStatusDescription; RDS.DimEnglishLearnerStatuses.EnglishLearnerStatusEdFactsCode; RDS.ReportEDFactsK12StudentAssessments.ENGLISHLEARNERSTATUS; RDS.ReportEDFactsK12StudentCounts.ENGLISHLEARNERSTATUS; RDS.ReportEDFactsK12StudentDisciplines.ENGLISHLEARNERSTATUS; RDS.ReportK12PsProgramEffectiveness.EnglishLearnerStatus; RDS.ReportPsAttainment.EnglishLearnerStatus
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Enrollment -> Number of Days Absent,75735,000201,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Identity -> Child Identification System,71352,000785,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Identity -> Child Identifier,71351,001080,RDS.DimPeople.ELChildChildIdentifierState
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Individualized Program -> Student Support Service Type,75738,000273,RDS.DimIndividualizedProgramStatuses.StudentSupportServiceTypeCode; RDS.DimIndividualizedProgramStatuses.StudentSupportServiceTypeDescription
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Language -> ISO 639-3 Language Code,74219,001637,RDS.DimLanguages.Iso6393LanguageCodeCode; RDS.DimLanguages.Iso6393LanguageCodeDescription
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Language -> Language Type,70645,000316,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Early Childhood Program Enrollment Type,74133,000829,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Program Participation Exit Date,70662,000591,
Enrollment in public pre-K,Early Learning -> Early Learning Child -> Program -> Program Participation Start Date,70661,000590,
Enrollment in public pre-K,Early Learning -> Early Learning Family -> Family/Household Information -> Family Income,70674,000332,
