"Global ID","Data Model ID","Element Name"
"001928",75282,"Do Not Publish Indicator"
"000033",70678,"Birthdate"
"000255",70691,"Sex"
"000016",72226,"American Indian or Alaska Native"
"000020",72227,"Asian"
"000034",72228,"Black or African American"
"000192",72229,"Native Hawaiian or Other Pacific Islander"
"000301",72230,"White"
"000144",72231,"Hispanic or Latino Ethnicity"
"000973",75167,"Demographic Race Two or More Races"
"000051",75285,"Country of Birth Code"
"001640",75286,"Military Branch"
"001657",75287,"Tribal Affiliation"
"001944",75510,"Federal Race and Ethnicity Declined"
"001947",75511,"First Generation College Student"
"001943",75512,"Race"
"000299",75854,"United States Citizenship Status"
"000191",70688,"Name of Institution"
"000789",72232,"Early Childhood Degree or Certificate Holder"
"000341",70696,"Level of Specialization in Early Learning"
"000342",70697,"Degree or Certificate Title or Subject"
"000343",70698,"Degree or Certificate Type"
"000344",70699,"Degree or Certificate Conferring Date"
"001086",72233,"Total Approved Early Childhood Credits Earned"
"000792",72235,"Early Learning Staff Total College Credits Earned"
"000816",72263,"Number of School-age Education Postsecondary Credit Hours"
"000793",72236,"Staff Education Entry Date"
"000794",72237,"Staff Education Withdrawal Date"
"000141",72238,"Highest Level of Education Completed"
"001487",73420,"Short Name of Organization"
"000818",72265,"Higher Education Institution Accreditation Status"
"001607",74077,"Education Verification Method"
"000347",70702,"Employment Status"
"000143",70684,"Hire Date"
"000346",70701,"Employment Start Date"
"000795",72240,"Employment End Date"
"001632",74121,"Early Learning Employment Separation Reason"
"000620",74134,"Employment Separation Reason"
"000621",74120,"Employment Separation Type"
"001498",73452,"Weeks Employed Per Year"
"000796",72241,"Hours Worked Per Week"
"000797",72242,"Hourly Wage"
"000798",72266,"Wage Collection Code"
"000819",72267,"Wage Verification Code"
"000032",73428,"Staff Compensation Base Salary"
"000295",73998,"Staff Compensation Total Salary"
"000136",73973,"Staff Compensation Health Benefits"
"000233",73991,"Staff Compensation Retirement Benefits"
"000205",73985,"Staff Compensation Other Benefits"
"000293",73997,"Staff Compensation Total Benefits"
